datetime,aod,PM2.5,PM10,HFLUX,PBLH,QLML,SPEED,TLML
2025-02-27 06:30:00,1.8870224952697754,28.0,90.0,390.3249816894531,2140.8037109375,0.005259595345705748,4.712510108947754,303.2965393066406
2025-02-27 07:30:00,2.6482789516448975,25.0,77.0,384.19354248046875,2447.86767578125,0.005173135548830032,4.308046817779541,304.2445068359375
2025-02-28 05:30:00,1.344167947769165,27.0,131.0,337.2667541503906,1612.8861083984375,0.0051652914844453335,9.873316764831543,302.369140625
2025-02-28 06:30:00,1.460519790649414,30.0,112.0,364.58990478515625,1939.922119140625,0.005123227834701538,10.325833320617676,303.67840576171875
2025-02-28 07:30:00,1.4749932289123535,30.0,112.0,369.4465637207031,2249.962158203125,0.0052013336680829525,10.413540840148926,304.656982421875
2025-02-28 07:30:00,1.4306222200393677,29.0,103.0,369.4465637207031,2249.962158203125,0.0052013336680829525,10.413540840148926,304.656982421875
2025-03-01 05:30:00,0.9102845191955566,21.0,99.0,346.3707275390625,2214.646484375,0.005803185515105724,4.904693603515625,302.7111511230469
2025-03-01 06:30:00,1.0501856803894043,20.0,77.0,379.4939880371094,2613.691162109375,0.00563189759850502,5.639185428619385,303.702880859375
2025-03-01 07:30:00,1.2199478149414062,20.0,77.0,374.87445068359375,2898.729736328125,0.0054893274791538715,6.160948753356934,304.4781494140625
2025-03-01 07:30:00,0.984378457069397,22.0,76.0,374.87445068359375,2898.729736328125,0.0054893274791538715,6.160948753356934,304.4781494140625
2025-03-01 08:30:00,0.9740236401557922,22.0,76.0,327.88922119140625,3089.7861328125,0.005325885955244303,6.494878768920898,305.05853271484375
2025-03-01 08:30:00,0.9079922437667847,17.0,71.0,327.88922119140625,3089.7861328125,0.005325885955244303,6.494878768920898,305.05853271484375
2025-03-02 06:30:00,1.2141501903533936,18.0,84.0,434.4949951171875,2326.80224609375,0.006057309918105602,6.035648822784424,302.54376220703125
2025-03-02 07:30:00,1.4715723991394043,18.0,84.0,437.7265930175781,2535.826171875,0.006078660022467375,6.77688455581665,303.2920227050781
2025-03-02 07:30:00,1.2018340826034546,23.0,88.0,437.7265930175781,2535.826171875,0.006078660022467375,6.77688455581665,303.2920227050781
2025-03-02 08:30:00,1.1566729545593262,23.0,88.0,387.54620361328125,2652.824951171875,0.006065598223358393,7.226418495178223,303.802001953125
2025-03-02 08:30:00,1.2697442770004272,24.0,84.0,387.54620361328125,2652.824951171875,0.006065598223358393,7.226418495178223,303.802001953125
2025-03-03 07:30:00,1.4777300357818604,30.0,111.0,380.12628173828125,2507.963134765625,0.004844089038670063,3.191645622253418,303.6505126953125
2025-03-03 08:30:00,1.0642914772033691,28.0,101.0,336.70867919921875,2745.0146484375,0.004863683599978685,3.4064364433288574,304.3382873535156
2025-03-03 08:30:00,0.9741443991661072,22.0,95.0,336.70867919921875,2745.0146484375,0.004863683599978685,3.4064364433288574,304.3382873535156
2025-03-04 06:30:00,1.3480452299118042,20.0,112.0,444.8241882324219,2261.91748046875,0.00545536121353507,5.76080846786499,301.6697082519531
2025-03-04 07:30:00,1.650839924812317,20.0,112.0,444.5030517578125,2493.975341796875,0.005179744679480791,6.184220314025879,302.443603515625
2025-03-04 07:30:00,1.3092747926712036,19.0,139.0,444.5030517578125,2493.975341796875,0.005179744679480791,6.184220314025879,302.443603515625
2025-03-04 08:30:00,1.077776551246643,19.0,139.0,395.5616760253906,2619.997314453125,0.0049512931145727634,6.799109935760498,302.9521789550781
2025-03-04 08:30:00,1.0950483083724976,21.0,115.0,395.5616760253906,2619.997314453125,0.0049512931145727634,6.799109935760498,302.9521789550781
2025-03-05 05:30:00,1.1101316213607788,17.0,87.0,434.4998474121094,944.5123901367188,0.0013698784168809652,6.829112529754639,294.8470458984375
2025-03-05 06:30:00,1.334996223449707,10.0,79.0,473.27410888671875,1166.552734375,0.001145032118074596,7.069997310638428,297.0191345214844
2025-03-05 07:30:00,2.2626795768737793,10.0,79.0,460.4393310546875,1470.110595703125,0.0010215797228738666,7.5963134765625,298.9894104003906
2025-03-05 07:30:00,1.4586642980575562,10.0,85.0,460.4393310546875,1470.110595703125,0.0010215797228738666,7.5963134765625,298.9894104003906
2025-03-05 08:30:00,1.1354278326034546,10.0,85.0,400.7872619628906,1667.14208984375,0.0009752580081112683,8.181219100952148,300.31756591796875
2025-03-05 08:30:00,1.0346943140029907,9.0,95.0,400.7872619628906,1667.14208984375,0.0009752580081112683,8.181219100952148,300.31756591796875
2025-03-06 05:30:00,1.1780483722686768,11.0,72.0,386.46234130859375,1588.9827880859375,0.001473193638958037,5.827640533447266,298.8072509765625
2025-03-06 06:30:00,1.6655646562576294,12.0,60.0,433.56494140625,1878.955810546875,0.0013436665758490562,5.90285587310791,300.3512878417969
2025-03-06 07:30:00,2.2364540100097656,12.0,60.0,428.4129943847656,2122.48193359375,0.0012262194650247693,5.87116813659668,301.5127258300781
2025-03-06 07:30:00,1.404755711555481,8.0,50.0,428.4129943847656,2122.48193359375,0.0012262194650247693,5.87116813659668,301.5127258300781
2025-03-06 08:30:00,1.147786259651184,8.0,50.0,373.2434997558594,2266.5244140625,0.0011647227220237255,5.825995445251465,302.2933654785156
2025-03-06 08:30:00,1.0035579204559326,8.0,53.0,373.2434997558594,2266.5244140625,0.0011647227220237255,5.825995445251465,302.2933654785156
2025-03-07 05:30:00,1.2498584985733032,13.0,58.0,360.59814453125,1963.5111083984375,0.002450063591822982,3.889922857284546,300.98223876953125
2025-03-07 06:30:00,1.784983515739441,10.0,52.0,415.2973327636719,2130.569580078125,0.002557823434472084,4.391162872314453,302.1589660644531
2025-03-07 07:30:00,2.335402011871338,10.0,52.0,416.5530700683594,2270.660400390625,0.002615387551486492,4.720979690551758,303.1504821777344
2025-03-07 07:30:00,1.4292490482330322,12.0,56.0,416.5530700683594,2270.660400390625,0.002615387551486492,4.720979690551758,303.1504821777344
2025-03-07 08:30:00,1.1961464881896973,12.0,56.0,368.2770080566406,2442.73291015625,0.0026907960418611765,5.281339645385742,303.9620056152344
2025-03-07 08:30:00,1.1726292371749878,9.0,61.0,368.2770080566406,2442.73291015625,0.0026907960418611765,5.281339645385742,303.9620056152344
2025-03-08 07:30:00,1.2553653717041016,10.0,71.0,420.7862548828125,2728.27001953125,0.003924678545445204,4.753101348876953,303.922607421875
2025-03-08 08:30:00,1.1483145952224731,10.0,71.0,367.44500732421875,2845.34130859375,0.0038909902796149254,4.261490345001221,304.436767578125
2025-03-08 08:30:00,0.9959319233894348,8.0,59.0,367.44500732421875,2845.34130859375,0.0038909902796149254,4.261490345001221,304.436767578125
2025-03-09 05:30:00,1.187502145767212,11.0,76.0,359.7819519042969,2249.13427734375,0.0034419684670865536,3.3191885948181152,302.3401794433594
2025-03-09 06:30:00,1.630739688873291,60.0,121.0,400.76129150390625,2581.149658203125,0.0036444077268242836,2.626689910888672,303.3854675292969
2025-03-09 07:30:00,2.219515323638916,60.0,121.0,398.87457275390625,2818.150146484375,0.003797302022576332,2.376178026199341,304.12310791015625
2025-03-09 07:30:00,1.3479595184326172,11.0,59.0,398.87457275390625,2818.150146484375,0.003797302022576332,2.376178026199341,304.12310791015625
2025-03-09 08:30:00,1.1649560928344727,11.0,59.0,349.80621337890625,2839.155029296875,0.0038988490123301744,2.2158234119415283,304.6939697265625
2025-03-09 08:30:00,1.0853108167648315,7.0,55.0,349.80621337890625,2839.155029296875,0.0038988490123301744,2.2158234119415283,304.6939697265625
2025-03-10 05:30:00,1.259538173675537,11.0,91.0,363.27691650390625,2067.640625,0.0041880980134010315,4.3785176277160645,303.00787353515625
2025-03-10 06:30:00,1.744761347770691,16.0,69.0,404.84661865234375,2424.151123046875,0.004241424147039652,3.048015594482422,304.2535400390625
2025-03-10 07:30:00,2.4950921535491943,16.0,69.0,394.0520935058594,2666.127197265625,0.004292930476367474,2.1887366771698,305.1781311035156
2025-03-10 07:30:00,1.3512550592422485,13.0,63.0,394.0520935058594,2666.127197265625,0.004292930476367474,2.1887366771698,305.1781311035156
2025-03-10 08:30:00,1.1645640134811401,13.0,63.0,345.148681640625,2837.08349609375,0.004296762868762016,1.966537594795227,305.8048095703125
2025-03-10 08:30:00,1.1745411157608032,13.0,65.0,345.148681640625,2837.08349609375,0.004296762868762016,1.966537594795227,305.8048095703125
2025-03-11 05:30:00,1.3940143585205078,22.0,80.0,336.3104248046875,2306.819580078125,0.004436441697180271,1.7804625034332275,304.468017578125
2025-03-11 06:30:00,1.6560704708099365,18.0,70.0,375.2140197753906,2619.842529296875,0.00444960780441761,1.4752544164657593,305.6095886230469
2025-03-11 07:30:00,2.214570999145508,18.0,70.0,382.5455322265625,2836.841552734375,0.004419123753905296,1.8761943578720093,306.42376708984375
2025-03-11 07:30:00,1.3951998949050903,18.0,63.0,382.5455322265625,2836.841552734375,0.004419123753905296,1.8761943578720093,306.42376708984375
2025-03-11 08:30:00,1.2180742025375366,18.0,63.0,343.91986083984375,2875.887451171875,0.004362141247838736,2.4507222175598145,307.0287170410156
2025-03-11 08:30:00,1.1649848222732544,15.0,58.0,343.91986083984375,2875.887451171875,0.004362141247838736,2.4507222175598145,307.0287170410156
2025-03-12 05:30:00,1.329633355140686,27.0,96.0,372.4827880859375,2163.96630859375,0.004983970429748297,6.74631404876709,305.97259521484375
2025-03-12 06:30:00,1.6719497442245483,23.0,86.0,422.9335021972656,2564.92431640625,0.005157651379704475,6.840510845184326,307.0303649902344
2025-03-12 07:30:00,2.086483955383301,23.0,86.0,424.18804931640625,2913.8564453125,0.005251274909824133,7.004802227020264,307.8094482421875
2025-03-12 07:30:00,1.4669660329818726,22.0,99.0,424.18804931640625,2913.8564453125,0.005251274909824133,7.004802227020264,307.8094482421875
2025-03-12 08:30:00,1.208198070526123,22.0,99.0,374.1842041015625,3129.955322265625,0.005176967475563288,7.193519115447998,308.357666015625
2025-03-12 08:30:00,1.2266912460327148,18.0,90.0,374.1842041015625,3129.955322265625,0.005176967475563288,7.193519115447998,308.357666015625
2025-03-13 05:30:00,1.3297001123428345,17.0,122.0,385.9220886230469,2353.12451171875,0.002840569708496332,8.602471351623535,306.4633483886719
2025-03-13 07:30:00,2.8291685581207275,12.0,82.0,445.3880615234375,2848.037109375,0.002569351578131318,9.109116554260254,308.0818176269531
2025-03-13 07:30:00,1.681944489479065,12.0,112.0,445.3880615234375,2848.037109375,0.002569351578131318,9.109116554260254,308.0818176269531
2025-03-13 08:30:00,1.393792986869812,12.0,112.0,391.48065185546875,3105.997802734375,0.00243950542062521,9.189287185668945,308.5863342285156
2025-03-13 08:30:00,1.2682377099990845,15.0,104.0,391.48065185546875,3105.997802734375,0.00243950542062521,9.189287185668945,308.5863342285156
2025-03-14 05:30:00,1.450406551361084,19.0,77.0,403.9475402832031,2282.076416015625,0.005772063042968512,7.892600059509277,306.0055847167969
2025-03-14 06:30:00,1.9562050104141235,15.0,69.0,451.6916809082031,2629.093505859375,0.005667157005518675,7.579385757446289,306.98382568359375
2025-03-14 07:30:00,2.744753837585449,15.0,69.0,449.0208435058594,2940.15185546875,0.005579502787441015,7.31614351272583,307.6918029785156
2025-03-14 07:30:00,1.6793463230133057,10.0,72.0,449.0208435058594,2940.15185546875,0.005579502787441015,7.31614351272583,307.6918029785156
2025-03-14 08:30:00,1.556662917137146,10.0,72.0,396.655029296875,3293.19580078125,0.0055014812387526035,7.143152713775635,308.16351318359375
2025-03-14 08:30:00,1.3761321306228638,12.0,68.0,396.655029296875,3293.19580078125,0.0055014812387526035,7.143152713775635,308.16351318359375
2025-03-15 05:30:00,1.4236637353897095,18.0,64.0,350.4640197753906,3421.106201171875,0.005523531697690487,2.9942433834075928,305.6004638671875
2025-03-15 06:30:00,1.8872809410095215,18.0,61.0,410.213623046875,3454.2177734375,0.005367367994040251,3.7469000816345215,306.7911071777344
2025-03-15 07:30:00,2.1086981296539307,18.0,61.0,413.84771728515625,3499.2919921875,0.005369728896766901,4.309347152709961,307.6746826171875
2025-03-15 07:30:00,1.6331675052642822,9.0,53.0,413.84771728515625,3499.2919921875,0.005369728896766901,4.309347152709961,307.6746826171875
2025-03-15 08:30:00,1.2298882007598877,9.0,53.0,365.94366455078125,3350.3505859375,0.005425480660051107,4.623223781585693,308.27996826171875
2025-03-15 08:30:00,1.5907260179519653,14.0,55.0,365.94366455078125,3350.3505859375,0.005425480660051107,4.623223781585693,308.27996826171875
2025-03-16 08:30:00,1.7852345705032349,13.0,67.0,368.3209533691406,3498.376708984375,0.005864815320819616,6.178208827972412,307.2796936035156
2025-03-18 06:30:00,2.082735300064087,15.0,67.0,406.5796203613281,2549.417236328125,0.004859081003814936,1.2600510120391846,303.1204833984375
2025-03-18 07:30:00,2.5577023029327393,15.0,67.0,390.85101318359375,2789.4521484375,0.004630399867892265,2.2156689167022705,304.00775146484375
2025-03-18 07:30:00,2.0331413745880127,16.0,60.0,390.85101318359375,2789.4521484375,0.004630399867892265,2.2156689167022705,304.00775146484375
2025-03-18 08:30:00,1.224922776222229,16.0,60.0,332.5445556640625,2822.44140625,0.0044471751898527145,2.8666772842407227,304.6495056152344
2025-03-18 08:30:00,1.2819693088531494,16.0,62.0,332.5445556640625,2822.44140625,0.0044471751898527145,2.8666772842407227,304.6495056152344
2025-03-19 05:30:00,1.5856232643127441,21.0,87.0,367.5773010253906,3076.374755859375,0.004295231308788061,3.4321370124816895,304.71856689453125
2025-03-19 06:30:00,2.1110241413116455,52.0,106.0,416.4051818847656,3451.376953125,0.004383465740829706,3.56638240814209,305.89599609375
2025-03-19 07:30:00,2.0484001636505127,52.0,106.0,416.4141845703125,3588.378662109375,0.004456058610230684,3.6810925006866455,306.8072814941406
2025-03-19 07:30:00,1.9715187549591064,21.0,71.0,416.4141845703125,3588.378662109375,0.004456058610230684,3.6810925006866455,306.8072814941406
2025-03-19 08:30:00,1.6216472387313843,21.0,71.0,367.7977600097656,3887.372314453125,0.004505625925958157,3.78568959236145,307.5108642578125
2025-03-21 07:30:00,2.5558090209960938,17.0,73.0,451.2288513183594,2910.021484375,0.004036214202642441,4.512503623962402,304.67181396484375
2025-03-21 08:30:00,2.1422128677368164,17.0,73.0,403.49310302734375,3461.027587890625,0.0039446791633963585,5.002852439880371,305.33935546875
2025-03-21 08:30:00,1.9811230897903442,13.0,65.0,403.49310302734375,3461.027587890625,0.0039446791633963585,5.002852439880371,305.33935546875
2025-03-22 05:30:00,1.7934863567352295,16.0,63.0,372.07806396484375,3059.73486328125,0.004842686932533979,1.11317777633667,302.71685791015625
2025-03-22 06:30:00,2.0042314529418945,14.0,67.0,409.0512390136719,3289.74609375,0.004709206521511078,0.43631047010421753,303.36376953125
2025-03-22 07:30:00,2.5640294551849365,15.0,53.0,420.2675476074219,3271.7919921875,0.00454536359757185,0.8741636276245117,303.96307373046875
2025-03-22 08:30:00,1.9814002513885498,15.0,53.0,386.6845703125,3274.828857421875,0.00444842828437686,1.6209584474563599,304.4779052734375
2025-03-22 08:30:00,1.6535202264785767,17.0,57.0,386.6845703125,3274.828857421875,0.00444842828437686,1.6209584474563599,304.4779052734375
2025-03-23 05:30:00,1.774848461151123,18.0,80.0,385.70111083984375,2998.91650390625,0.00414501316845417,3.076765298843384,304.1048583984375
2025-03-23 08:30:00,2.0813562870025635,8.0,58.0,404.900634765625,3258.954833984375,0.003490837523713708,4.105151176452637,305.97796630859375
2025-03-23 08:30:00,1.782890796661377,10.0,118.0,404.900634765625,3258.954833984375,0.003490837523713708,4.105151176452637,305.97796630859375
2025-03-24 05:30:00,1.5114279985427856,20.0,69.0,365.087646484375,2603.643310546875,0.0027764434926211834,1.552034616470337,303.767578125
2025-03-24 06:30:00,2.2089362144470215,14.0,55.0,424.1692810058594,2829.70654296875,0.0028577379416674376,2.1372251510620117,304.7640075683594
2025-03-24 07:30:00,1.8825889825820923,10.0,55.0,435.021240234375,2835.728515625,0.0029237184207886457,2.7756149768829346,305.5500793457031
2025-03-24 08:30:00,2.0038771629333496,10.0,55.0,393.25616455078125,2849.725341796875,0.0029733560513705015,3.211738109588623,306.0841064453125
2025-03-24 08:30:00,1.6511662006378174,15.0,56.0,393.25616455078125,2849.725341796875,0.0029733560513705015,3.211738109588623,306.0841064453125
2025-03-25 05:30:00,1.217226505279541,32.0,93.0,352.6264343261719,2546.796142578125,0.003291431115940213,1.3585240840911865,304.9856872558594
2025-03-25 07:30:00,2.0496184825897217,12.0,67.0,414.7726745605469,3063.929443359375,0.003513163421303034,1.887963891029358,306.8550720214844
2025-03-25 08:30:00,0.8004201054573059,12.0,67.0,369.68560791015625,3127.919921875,0.0035234305541962385,1.9381475448608398,307.41143798828125
2025-03-25 08:30:00,1.2690528631210327,16.0,70.0,369.68560791015625,3127.919921875,0.0035234305541962385,1.9381475448608398,307.41143798828125
2025-03-26 05:30:00,1.0481112003326416,27.0,79.0,370.35211181640625,2811.5947265625,0.003814165713265538,3.4837162494659424,307.0255126953125
2025-03-26 06:30:00,1.6375117301940918,22.0,74.0,415.2809143066406,3232.693603515625,0.003878361312672496,3.2715368270874023,307.8998107910156
2025-03-26 08:30:00,1.1195274591445923,19.0,80.0,367.0538330078125,3509.803466796875,0.0038805785588920116,3.0230088233947754,309.0993347167969
2025-03-26 08:30:00,0.8609193563461304,23.0,70.0,367.0538330078125,3509.803466796875,0.0038805785588920116,3.0230088233947754,309.0993347167969
2025-03-27 08:30:00,0.4477429986000061,25.0,86.0,395.9474792480469,3860.19384765625,0.005311958026140928,5.509451389312744,309.08392333984375
2025-03-27 08:30:00,0.9169405698776245,26.0,80.0,395.9474792480469,3860.19384765625,0.005311958026140928,5.509451389312744,309.08392333984375
2025-03-28 05:30:00,1.7121301889419556,17.0,134.0,408.1301574707031,2123.246826171875,0.0036871384363621473,5.106395721435547,304.5401306152344
2025-03-28 08:30:00,0.4852641522884369,13.0,105.0,389.4267578125,2835.322998046875,0.004482586868107319,5.724684238433838,306.6629638671875
2025-03-28 08:30:00,1.148206114768982,16.0,106.0,389.4267578125,2835.322998046875,0.004482586868107319,5.724684238433838,306.6629638671875
2025-03-29 05:30:00,2.2173564434051514,15.0,125.0,393.54840087890625,1984.540283203125,0.0015101974131539464,2.3820950984954834,302.35821533203125
2025-03-29 08:30:00,1.0956172943115234,9.0,103.0,397.0349426269531,2559.0888671875,0.0018365181749686599,3.4147841930389404,306.2603759765625
2025-03-30 05:30:00,1.9481594562530518,17.0,92.0,344.8155517578125,2157.884521484375,0.001895965775474906,1.3135879039764404,304.0622863769531
2025-03-30 08:30:00,1.0291593074798584,10.0,66.0,383.00396728515625,2844.884033203125,0.0032121757976710796,3.7281219959259033,307.83367919921875
2025-04-01 05:30:00,1.5412847995758057,16.0,100.0,349.17083740234375,2280.109130859375,0.002645022002980113,2.3759639263153076,305.5966796875
2025-04-01 08:30:00,0.8778648972511292,17.0,78.0,300.52801513671875,3156.07958984375,0.003454935969784856,0.8839098811149597,307.66876220703125
2025-04-01 08:30:00,1.2090344429016113,21.0,73.0,300.52801513671875,3156.07958984375,0.003454935969784856,0.8839098811149597,307.66876220703125
2025-04-03 05:30:00,1.3767184019088745,41.0,104.0,290.44622802734375,2108.083740234375,0.008336910046637058,4.519848823547363,304.42620849609375
2025-04-04 05:30:00,0.5528256893157959,39.0,88.0,385.58392333984375,2479.82958984375,0.0036851849872618914,3.7674295902252197,306.0377502441406
2025-04-05 07:30:00,1.2847092151641846,16.0,83.0,460.617919921875,3119.03173828125,0.003203036729246378,6.098912715911865,308.7402648925781
2025-04-05 08:30:00,1.8897827863693237,9.0,93.0,419.1688232421875,3507.960205078125,0.003244902240112424,6.771450996398926,309.09454345703125
2025-04-05 08:30:00,0.8629302382469177,9.0,71.0,419.1688232421875,3507.960205078125,0.003244902240112424,6.771450996398926,309.09454345703125
2025-04-06 05:30:00,2.270671844482422,27.0,96.0,368.96588134765625,2959.4658203125,0.004601350519806147,2.37770414352417,308.1461181640625
2025-04-06 07:30:00,2.9266154766082764,22.0,89.0,424.82794189453125,3517.62255859375,0.004616704303771257,2.8312325477600098,309.7943115234375
2025-04-06 08:30:00,1.4084484577178955,11.0,102.0,385.2509460449219,3912.62158203125,0.004616699181497097,3.2336039543151855,310.3159484863281
2025-04-06 08:30:00,0.7050377726554871,15.0,86.0,385.2509460449219,3912.62158203125,0.004616699181497097,3.2336039543151855,310.3159484863281
2025-04-07 05:30:00,1.4422705173492432,30.0,110.0,349.32794189453125,2824.662841796875,0.0038585662841796875,1.979952335357666,309.281494140625
2025-04-07 07:30:00,2.922729969024658,24.0,94.0,397.950927734375,3342.661865234375,0.003801447106525302,2.378915309906006,311.05035400390625
2025-04-07 08:30:00,1.1711584329605103,19.0,84.0,363.3152160644531,3874.681396484375,0.003738487372174859,2.965832233428955,311.52862548828125
2025-04-08 07:30:00,2.1287567615509033,50.0,125.0,378.52587890625,3879.81103515625,0.00437850272282958,1.2495684623718262,311.2578125
2025-04-08 08:30:00,1.127004623413086,44.0,115.0,334.6217346191406,4012.792724609375,0.004349892493337393,0.9845815300941467,311.6561279296875
2025-04-08 08:30:00,1.6456868648529053,22.0,82.0,334.6217346191406,4012.792724609375,0.004349892493337393,0.9845815300941467,311.6561279296875
2025-04-10 07:30:00,2.042454719543457,19.0,116.0,449.0086669921875,4284.32958984375,0.0038934603799134493,7.430579662322998,311.0116271972656
2025-04-10 08:30:00,2.5493860244750977,13.0,104.0,404.77642822265625,4672.28662109375,0.003811461851000786,7.407361030578613,311.29010009765625
2025-04-11 05:30:00,1.1741148233413696,16.0,100.0,449.807861328125,3011.55029296875,0.004328640643507242,10.320781707763672,308.52880859375
2025-04-12 05:30:00,1.511741280555725,21.0,108.0,425.6903076171875,2297.05224609375,0.00639007706195116,5.114954948425293,306.170166015625
2025-04-13 05:30:00,1.5212082862854004,25.0,107.0,438.3610534667969,2225.919677734375,0.007397049106657505,5.106929302215576,306.69573974609375
2025-04-13 08:30:00,2.179198980331421,20.0,97.0,441.3713684082031,3371.993408203125,0.006391915492713451,6.195919990539551,309.3019714355469
2025-04-14 05:30:00,0.33990976214408875,42.0,128.0,410.543212890625,2347.916259765625,0.006374712567776442,3.762718677520752,306.9270324707031
2025-04-15 07:30:00,1.366913914680481,28.0,71.0,449.7732238769531,2886.20751953125,0.007330506108701229,2.940239906311035,308.3424072265625
2025-04-16 05:30:00,1.2701910734176636,34.0,96.0,367.4409484863281,2583.6591796875,0.007225981913506985,0.7083477973937988,306.5949401855469
2025-04-16 07:30:00,0.5799791216850281,35.0,88.0,428.0018005371094,3136.725830078125,0.007292839698493481,1.4252852201461792,308.61602783203125
2025-04-17 05:30:00,0.702086329460144,43.0,100.0,385.82080078125,3778.72314453125,0.006493648048490286,2.907014846801758,308.7321472167969
2025-04-18 07:30:00,1.750524878501892,26.0,102.0,442.7348937988281,3035.7392578125,0.005164239555597305,6.822072505950928,312.46484375
2025-04-19 05:30:00,1.3690268993377686,15.0,102.0,419.21600341796875,2528.261962890625,0.005321600008755922,5.868965148925781,310.05029296875
2025-04-19 07:30:00,1.4512147903442383,13.0,78.0,460.8277587890625,3512.255615234375,0.005291031673550606,5.357738494873047,311.46746826171875
2025-04-19 07:30:00,0.8676379323005676,13.0,70.0,460.8277587890625,3512.255615234375,0.005291031673550606,5.357738494873047,311.46746826171875
2025-04-19 08:30:00,1.1916416883468628,13.0,70.0,416.9029846191406,3916.253662109375,0.00517848739400506,5.685039520263672,311.89739990234375
2025-04-19 08:30:00,0.4357953369617462,16.0,70.0,416.9029846191406,3916.253662109375,0.00517848739400506,5.685039520263672,311.89739990234375
2025-04-20 06:30:00,1.4698926210403442,33.0,124.0,509.337890625,2656.86767578125,0.005015671718865633,7.164891242980957,308.4415588378906
2025-04-20 07:30:00,1.2693198919296265,33.0,124.0,510.16986083984375,2580.806640625,0.004836332518607378,7.923898696899414,309.54608154296875
2025-04-20 07:30:00,0.12774421274662018,24.0,114.0,510.16986083984375,2580.806640625,0.004836332518607378,7.923898696899414,309.54608154296875
2025-04-20 08:30:00,0.8288301229476929,24.0,114.0,463.088134765625,2788.824462890625,0.00452921399846673,8.62898063659668,310.39752197265625
2025-04-20 08:30:00,0.5013228058815002,18.0,103.0,463.088134765625,2788.824462890625,0.00452921399846673,8.62898063659668,310.39752197265625
2025-04-21 05:30:00,1.2304491996765137,29.0,165.0,412.3866271972656,2343.45947265625,0.0040537952445447445,4.773393154144287,308.16650390625
2025-04-21 06:30:00,1.6811779737472534,27.0,147.0,465.00030517578125,2583.4921875,0.0037944228388369083,4.8954877853393555,309.2245788574219
2025-04-21 07:30:00,0.47413408756256104,25.0,149.0,463.40191650390625,2750.49072265625,0.0035684143658727407,5.263828754425049,310.1452941894531
2025-04-21 08:30:00,0.4510509967803955,25.0,149.0,415.523681640625,2878.441650390625,0.00338528910651803,5.6904144287109375,310.83135986328125
2025-04-21 08:30:00,0.5480942130088806,24.0,130.0,415.523681640625,2878.441650390625,0.00338528910651803,5.6904144287109375,310.83135986328125
2025-04-22 05:30:00,0.723283052444458,25.0,106.0,405.1358337402344,2586.116943359375,0.00404784781858325,3.6854088306427,308.9953918457031
2025-04-22 06:30:00,0.7877805829048157,22.0,116.0,454.194580078125,2766.101318359375,0.0039124321192502975,4.009620666503906,310.0372314453125
